WARNING: src/modules/memory/instruction_memory.v:13: $readmemb(data/inst.mem): Not enough words in the file for the requested range [0:63].
                   0 ** Start Simulation **
                   0 Instruction Memory 
VCD info: dumpfile sim.vcd opened for output.
                   0 [PC] pc :          x
                3265 [PC] pc :        176
                3275 [PC] pc :        180
                3285 [PC] pc :        184
                3295 [PC] pc :        176
                3305 [PC] pc :        180
                3315 [PC] pc :        184
                3325 [PC] pc :        176
                3335 [PC] pc :        180
                3345 [PC] pc :        184
                3355 [PC] pc :        176
                3365 [PC] pc :        180
                3375 [PC] pc :        184
                3385 [PC] pc :        176
                3395 [PC] pc :        180
                3405 [PC] pc :        184
                3415 [PC] pc :        176
                3425 [PC] pc :        180
                3435 [PC] pc :        184
                3445 [PC] pc :        176
                3455 [PC] pc :        180
                3465 [PC] pc :        184
                3475 [PC] pc :        176
                3485 [PC] pc :        180
                3495 [PC] pc :        184
                3505 [PC] pc :        176
                3515 [PC] pc :        180
                3525 [PC] pc :        184
                3535 [PC] pc :        176
                3545 [PC] pc :        180
                3555 [PC] pc :        184
                3565 [PC] pc :        176
                3575 [PC] pc :        180
                3585 [PC] pc :        184
                3595 [PC] pc :        176
                3605 [PC] pc :        180
                3615 [PC] pc :        184
                3625 [PC] pc :        176
                3635 [PC] pc :        180
                3645 [PC] pc :        184
                3655 [PC] pc :        176
                3665 [PC] pc :        180
                3675 [PC] pc :        184
                3685 [PC] pc :        176
                3695 [PC] pc :        180
                3705 [PC] pc :        184
                3715 [PC] pc :        176
                3725 [PC] pc :        180
                3735 [PC] pc :        184
                3745 [PC] pc :        176
                3755 [PC] pc :        180
                3765 [PC] pc :        184
                3775 [PC] pc :        176
                3785 [PC] pc :        180
                3795 [PC] pc :        184
                3805 [PC] pc :        176
                3815 [PC] pc :        180
                3825 [PC] pc :        184
                3835 [PC] pc :        176
                3845 [PC] pc :        180
                3855 [PC] pc :        184
                3865 [PC] pc :        176
                3875 [PC] pc :        180
                3885 [PC] pc :        184
                3895 [PC] pc :        176
                3905 [PC] pc :        180
                3915 [PC] pc :        184
                3925 [PC] pc :        176
                3935 [PC] pc :        180
                3945 [PC] pc :        184
                3955 [PC] pc :        176
                3965 [PC] pc :        180
                3975 [PC] pc :        184
                3985 [PC] pc :        176
                3995 [PC] pc :        180
                4005 [PC] pc :        184
                4015 [PC] pc :        176
                4025 [PC] pc :        180
                4035 [PC] pc :        184
                4045 [PC] pc :        176
                4055 [PC] pc :        180
                4060 ** End Simulation **
                4060 REGISTER FILE
                4060 Reg[          0]:           0 (00000000000000000000000000000000)
                4060 Reg[          1]:           0 (00000000000000000000000000000000)
                4060 Reg[          2]:         100 (00000000000000000000000001100100)
                4060 Reg[          3]:           0 (00000000000000000000000000000000)
                4060 Reg[          4]:           0 (00000000000000000000000000000000)
                4060 Reg[          5]:           0 (00000000000000000000000000000000)
                4060 Reg[          6]:           0 (00000000000000000000000000000000)
                4060 Reg[          7]:           0 (00000000000000000000000000000000)
                4060 Reg[          8]:           0 (00000000000000000000000000000000)
                4060 Reg[          9]:           0 (00000000000000000000000000000000)
                4060 Reg[         10]:           0 (00000000000000000000000000000000)
                4060 Reg[         11]:          11 (00000000000000000000000000001011)
                4060 Reg[         12]:           0 (00000000000000000000000000000000)
                4060 Reg[         13]:           0 (00000000000000000000000000000000)
                4060 Reg[         14]:           0 (00000000000000000000000000000000)
                4060 Reg[         15]:           0 (00000000000000000000000000000000)
                4060 Reg[         16]:           0 (00000000000000000000000000000000)
                4060 Reg[         17]:           0 (00000000000000000000000000000000)
                4060 Reg[         18]:           0 (00000000000000000000000000000000)
                4060 Reg[         19]:           0 (00000000000000000000000000000000)
                4060 Reg[         20]:           0 (00000000000000000000000000000000)
                4060 Reg[         21]:           0 (00000000000000000000000000000000)
                4060 Reg[         22]:           0 (00000000000000000000000000000000)
                4060 Reg[         23]:           0 (00000000000000000000000000000000)
                4060 Reg[         24]:           0 (00000000000000000000000000000000)
                4060 Reg[         25]:           0 (00000000000000000000000000000000)
                4060 Reg[         26]:           0 (00000000000000000000000000000000)
                4060 Reg[         27]:           0 (00000000000000000000000000000000)
                4060 Reg[         28]:           0 (00000000000000000000000000000000)
                4060 Reg[         29]:           0 (00000000000000000000000000000000)
                4060 Reg[         30]:           0 (00000000000000000000000000000000)
                4060 Reg[         31]:           0 (00000000000000000000000000000000)
                4060 DATA MEMORY
                4060 Mem[          0]:           0 (00000000000000000000000000000000)
                4060 Mem[          1]:           0 (00000000000000000000000000000000)
                4060 Mem[          2]:           0 (00000000000000000000000000000000)
                4060 Mem[          3]:           0 (00000000000000000000000000000000)
                4060 Mem[          4]:           0 (00000000000000000000000000000000)
                4060 Mem[          5]:           0 (00000000000000000000000000000000)
                4060 Mem[          6]:           0 (00000000000000000000000000000000)
                4060 Mem[          7]:          11 (00000000000000000000000000001011)
                4060 Mem[          8]:           0 (00000000000000000000000000000000)
                4060 Mem[          9]:           0 (00000000000000000000000000000000)
                4060 Mem[         10]:           0 (00000000000000000000000000000000)
                4060 Mem[         11]:           0 (00000000000000000000000000000000)
                4060 Mem[         12]:           0 (00000000000000000000000000000000)
                4060 Mem[         13]:           0 (00000000000000000000000000000000)
                4060 Mem[         14]:           0 (00000000000000000000000000000000)
                4060 Mem[         15]:           0 (00000000000000000000000000000000)
                4060 Mem[         16]:         100 (00000000000000000000000001100100)
                4060 Mem[         17]:           0 (00000000000000000000000000000000)
                4060 Mem[         18]:         -11 (11111111111111111111111111110101)
                4060 Mem[         19]:          11 (00000000000000000000000000001011)
                4060 Mem[         20]:           0 (00000000000000000000000000000000)
                4060 Mem[         21]:           0 (00000000000000000000000000000000)
                4060 Mem[         22]:           0 (00000000000000000000000000000000)
                4060 Mem[         23]:           0 (00000000000000000000000000000000)
                4060 Mem[         24]:           0 (00000000000000000000000000000000)
                4060 Mem[         25]:           0 (00000000000000000000000000000000)
                4060 Mem[         26]:           0 (00000000000000000000000000000000)
                4060 Mem[         27]:           0 (00000000000000000000000000000000)
                4060 Mem[         28]:           0 (00000000000000000000000000000000)
                4060 Mem[         29]:           0 (00000000000000000000000000000000)
                4060 Mem[         30]:           0 (00000000000000000000000000000000)
                4060 Mem[         31]:           0 (00000000000000000000000000000000)
                4060 Mem[         32]:           0 (00000000000000000000000000000000)
                4060 Mem[         33]:           0 (00000000000000000000000000000000)
                4060 Mem[         34]:           0 (00000000000000000000000000000000)
                4060 Mem[         35]:           0 (00000000000000000000000000000000)
                4060 Mem[         36]:           0 (00000000000000000000000000000000)
                4060 Mem[         37]:           0 (00000000000000000000000000000000)
                4060 Mem[         38]:           0 (00000000000000000000000000000000)
                4060 Mem[         39]:           0 (00000000000000000000000000000000)
                4060 Mem[         40]:           0 (00000000000000000000000000000000)
                4060 Mem[         41]:           0 (00000000000000000000000000000000)
                4060 Mem[         42]:           0 (00000000000000000000000000000000)
                4060 Mem[         43]:           0 (00000000000000000000000000000000)
                4060 Mem[         44]:           0 (00000000000000000000000000000000)
                4060 Mem[         45]:           0 (00000000000000000000000000000000)
                4060 Mem[         46]:           0 (00000000000000000000000000000000)
                4060 Mem[         47]:           0 (00000000000000000000000000000000)
                4060 Mem[         48]:           0 (00000000000000000000000000000000)
                4060 Mem[         49]:           0 (00000000000000000000000000000000)
                4060 Mem[         50]:           0 (00000000000000000000000000000000)
                4060 Mem[         51]:           0 (00000000000000000000000000000000)
                4060 Mem[         52]:           0 (00000000000000000000000000000000)
                4060 Mem[         53]:           0 (00000000000000000000000000000000)
                4060 Mem[         54]:           0 (00000000000000000000000000000000)
                4060 Mem[         55]:           0 (00000000000000000000000000000000)
                4060 Mem[         56]:           0 (00000000000000000000000000000000)
                4060 Mem[         57]:           0 (00000000000000000000000000000000)
